id_estado;estado;municipio;id_municipio;suma_votos_validos;suma_votos_nulos;suma_EG;suma_NM;suma_LM;suma_JABE;suma_JOBR;suma_AE;suma_CF;suma_DC;suma_EM;suma_BERA;total_otros_candidatos;porc_EG;porc_NM;porc_otros
16;Monagas;aguasay;1602;6071;0;3376;2550;58;8;12;21;7;8;23;8;145;55,6086312;42,00296492;2,388403887
16;Monagas;bolivar;1603;17047;2;9096;7652;102;4;27;62;22;15;42;25;299;53,35836218;44,88766352;1,753974306
16;Monagas;caripe;1604;13812;0;7138;6410;99;23;20;38;7;4;46;27;264;51,67969881;46,40891978;1,911381407
16;Monagas;cedeño;1605;17937;2;9250;8376;135;12;31;47;10;10;46;20;311;51,56938172;46,69677204;1,73384624
16;Monagas;ezequiel zamora;1606;29579;3;15811;12997;282;53;81;129;34;28;79;85;771;53,45346361;43,9399574;2,606578992
16;Monagas;libertador;1607;13382;2;7392;5684;121;19;31;44;11;15;39;26;306;55,23837991;42,47496637;2,286653714
16;Monagas;maturin;1608;178153;37;116844;57445;1180;276;283;783;215;150;405;572;3864;65,58632187;32,24475591;2,168922219
16;Monagas;piar;1609;21026;1;11643;8936;162;16;33;83;18;18;78;39;447;55,37429849;42,4997622;2,125939313
16;Monagas;punceres;1610;10735;0;6131;4370;89;11;21;40;7;7;38;21;234;57,11224965;40,7079646;2,179785748
16;Monagas;santa barbara;1611;5204;0;2998;2120;38;4;9;15;1;5;11;3;86;57,60953113;40,73789393;1,652574942
16;Monagas;sotillo;1612;5423;1;2914;2417;41;2;7;13;3;7;14;5;92;53,73409552;44,56942652;1,696477964
16;Monagas;uracoa;1613;5120;0;2821;2184;42;4;12;18;8;4;20;7;115;55,09765625;42,65625;2,24609375
17;Nueva Esparta;antolin del campo;1701;14416;0;8857;5297;119;12;17;39;6;11;30;28;262;61,43867925;36,74389567;1,817425083
17;Nueva Esparta;arismendi;1702;15481;0;11264;3770;155;24;36;85;21;14;47;65;447;72,76015761;24,35243201;2,887410374
17;Nueva Esparta;diaz;1703;31781;4;20269;10508;389;52;76;221;33;39;71;123;1004;63,77709952;33,06378025;3,159120229
17;Nueva Esparta;garcia;1704;25720;4;16893;8131;244;25;52;168;28;22;61;96;696;65,68040435;31,61353033;2,706065319
17;Nueva Esparta;gomez;1705;20257;1;13685;6093;194;30;30;90;15;17;47;56;479;67,55689391;30,07849139;2,364614701
